"date","jpy_per_usd","twd_per_usd","twd_per_jpy","log_return_twd_per_jpy"
2021-02-17,105.83,28,0.264575262212983,0.000829550901109366
2021-02-18,105.69,27.94,0.264358028195667,-0.000821404262010939
2021-02-19,105.58,27.9,0.264254593673044,-0.00039134337571034
2021-02-22,105.06,27.92,0.265752903102989,0.00565393293650662
2021-02-23,105.21,27.85,0.264708677882331,-0.00393704881525947
2021-02-24,105.91,27.84,0.262864696440374,-0.00699045494245576
2021-02-25,106.22,27.81,0.261815100734325,-0.00400090535902065
2021-02-26,106.64,27.87,0.261346586646662,-0.00179108762821678
2021-03-01,106.68,27.87,0.261248593925759,-0.000375023443360156
2021-03-02,106.75,27.87,0.261077283372365,-0.000655952794920367
2021-03-03,106.92,27.76,0.259633370744482,-0.00554594501723749
2021-03-04,107.58,27.83,0.258691206543967,-0.00363542567518271
2021-03-05,108.24,27.89,0.257668144863267,-0.00396260091583778
2021-03-08,108.92,28.23,0.259181050312156,0.00585435668297407
2021-03-09,108.64,28.29,0.260401325478645,0.00469714704325064
2021-03-10,108.58,28.34,0.26100571007552,0.00231828428213965
2021-03-11,108.44,28.21,0.260143858354851,-0.00330750540178926
2021-03-12,108.87,28.21,0.259116377330761,-0.00395748526262385
2021-03-15,109.11,28.24,0.258821372926405,-0.00113915016278221
2021-03-16,109.01,28.27,0.25933400605449,0.00197868560719772
2021-03-17,109.22,28.33,0.259384728071782,0.000195566553185644
2021-03-18,108.97,28.38,0.260438652840231,0.00405493962468451
2021-03-19,108.85,28.42,0.261093247588424,0.00251027824529615
2021-03-22,108.67,28.4,0.261341676635686,0.00095104310400207
2021-03-23,108.61,28.44,0.261854341220882,0.00195974255069542
2021-03-24,108.81,28.48,0.261740648837423,-0.000434276062241334
2021-03-25,109.13,28.59,0.261981123430771,0.000918329628367687
2021-03-26,109.55,28.59,0.260976722957554,-0.00384123391647706
2021-03-29,109.73,28.54,0.26009295543607,-0.00339213124676219
2021-03-30,110.19,28.51,0.258734912423995,-0.00523505462108775
2021-03-31,110.61,28.48,0.257481240394178,-0.00485716879528275
2021-04-01,110.61,28.53,0.25793327908869,0.00175407868163369
2021-04-02,110.67,28.51,0.257612722508358,-0.00124356166335904
2021-04-05,110.08,28.45,0.258448401162791,0.0032386837394196
2021-04-06,109.83,28.44,0.258945643266867,0.00192210274747917
2021-04-07,109.67,28.42,0.259141059542263,0.000754376762051479
2021-04-08,109.25,28.45,0.260411899313501,0.00489206069980308
2021-04-09,109.64,28.43,0.259303174024079,-0.00426667236831668
2021-04-12,109.43,28.44,0.25989216850955,0.0022688752763651
2021-04-13,109.19,28.48,0.260829746313765,0.00360107301311152
2021-04-14,108.93,28.45,0.261176902597999,0.00133008396018552
2021-04-15,108.78,28.33,0.260433903291046,-0.0028488666303752
2021-04-16,108.78,28.34,0.260525831954403,0.000352920420109148
2021-04-19,108.09,28.15,0.260431122212971,-0.00036359911013184
2021-04-20,108.07,28.12,0.26020172110669,-0.000881239530197586
2021-04-21,108.09,28.09,0.259876029234897,-0.00125247393934957
2021-04-22,108.17,28.09,0.259683831006749,-0.000739850214086513
2021-04-23,107.94,28.09,0.26023716879748,0.00212854645170157
2021-04-26,108.12,27.89,0.257954125046245,-0.00881164369450493
2021-04-27,108.56,27.89,0.256908621960206,-0.00406129411836664
2021-04-28,108.81,27.9,0.256410256410256,-0.00194173924838492
2021-04-29,108.94,27.85,0.255645309344593,-0.00298775244663441
2021-04-30,109.33,27.9,0.255190707033751,-0.00177983703683826
2021-05-03,109.08,27.93,0.256050605060506,0.00336396459877109
2021-05-04,109.34,27.98,0.255899030546918,-0.000592146209215771
2021-05-05,109.27,27.96,0.255879930447515,-7.46419875263804e-05
2021-05-06,109.17,27.95,0.256022716863607,0.000557865525974588
2021-05-07,108.52,27.89,0.257003317360855,0.00382281453973654
2021-05-10,108.7,27.77,0.255473781048758,-0.00596920665712197
2021-05-11,108.53,27.92,0.257256058232747,0.00695213824470353
2021-05-12,109.53,27.95,0.255181228887063,-0.00809793017079508
2021-05-13,109.56,27.95,0.255111354508945,-0.000273860059222475
2021-05-14,109.37,27.96,0.255645972387309,0.00209343281224461
2021-05-17,109.17,28.09,0.257305120454337,0.00646905280549914
2021-05-18,109.01,27.96,0.256490230254105,-0.00317204459863207
2021-05-19,108.76,27.98,0.257263699889665,0.00301105324772277
2021-05-20,108.79,27.96,0.257008916260686,-0.000990850540446786
2021-05-21,108.94,27.97,0.256746833119148,-0.00102026367427843
2021-05-24,108.81,27.93,0.256685966363386,-0.000237097264175201
2021-05-25,108.95,27.9,0.25608077099587,-0.00236051055747377
2021-05-26,109.1,27.78,0.254628780934922,-0.00568618294951806
2021-05-27,109.81,27.8,0.253164556962025,-0.00576702340020319
2021-05-28,109.83,27.7,0.252207957752891,-0.00378572369393115
2021-05-31,,,,
2021-06-01,109.43,27.56,0.251850498035274,
2021-06-02,109.59,27.63,0.252121543936491,0.00107563874491823
2021-06-03,110.28,27.68,0.250997461008342,-0.00446846486615127
2021-06-04,109.42,27.66,0.252787424602449,0.00710609300705944
2021-06-07,109.25,27.73,0.253821510297483,0.00408238805105476
2021-06-08,109.47,27.71,0.253128711062392,-0.00273320589356607
2021-06-09,109.61,27.73,0.252987866070614,-0.000556571358366398
2021-06-10,109.49,27.66,0.252625810576308,-0.00143214304877604
2021-06-11,109.75,27.69,0.252300683371298,-0.001287820123689
2021-06-14,109.98,27.69,0.25177304964539,-0.00209347912438806
2021-06-15,110.12,27.67,0.251271340355975,-0.00199469257877349
2021-06-16,109.88,27.64,0.251547142337095,0.00109702414796797
2021-06-17,110.28,27.78,0.251904243743199,0.00141861349820571
2021-06-18,110.21,27.81,0.252336448598131,0.00171428037182109
2021-06-21,110.22,27.93,0.253402286336418,0.00421497995957321
2021-06-22,110.75,28.01,0.252911963882619,-0.00193683115522392
2021-06-23,110.86,27.96,0.252209994587768,-0.00277940697282131
2021-06-24,110.91,27.98,0.252276620683437,0.000264134246733994
2021-06-25,110.78,27.91,0.251940783534934,-0.00133211267741196
2021-06-28,110.5,27.89,0.252398190045249,0.0018138857383172
2021-06-29,110.53,27.93,0.252691576947435,0.00116172195263142
