"date","symbol","company","sector","adjusted","simple_return","log_return"
2019-08-02,"AAPL","Apple Inc.","Information Technology",49.781693,-0.0211582485534065,-0.0213852925748901
2019-08-05,"AAPL","Apple Inc.","Information Technology",47.175739,-0.0523476371123014,-0.0537675497947987
2019-08-06,"AAPL","Apple Inc.","Information Technology",48.068794,0.018930387078833,0.0187534369696589
2019-08-07,"AAPL","Apple Inc.","Information Technology",48.566559,0.0103552629175594,0.0103020144681656
2019-08-08,"AAPL","Apple Inc.","Information Technology",49.637737,0.0220558759371856,0.0218161634153535
2019-08-09,"AAPL","Apple Inc.","Information Technology",49.228703,-0.00824038372256975,-0.0082745233630348
2019-08-12,"AAPL","Apple Inc.","Information Technology",49.103783,-0.00253754400151479,-0.00254076902320577
2019-08-13,"AAPL","Apple Inc.","Information Technology",51.183247,0.0423483461549185,0.0414761927946143
2019-08-14,"AAPL","Apple Inc.","Information Technology",49.659775,-0.0297650518342456,-0.0302170222100591
2019-08-15,"AAPL","Apple Inc.","Information Technology",49.412392,-0.00498155700463819,-0.00499400632159741
2019-08-16,"AAPL","Apple Inc.","Information Technology",50.57827,0.0235948504577557,0.0233207944758322
2019-08-19,"AAPL","Apple Inc.","Information Technology",51.521255,0.0186440738285432,0.0184724035569737
2019-08-20,"AAPL","Apple Inc.","Information Technology",51.523705,4.75531894555591e-05,4.75520588385514e-05
2019-08-21,"AAPL","Apple Inc.","Information Technology",52.082146,0.0108385256844399,0.0107802098582512
2019-08-22,"AAPL","Apple Inc.","Information Technology",52.038052,-0.000846624100320313,-0.000846982688911257
2019-08-23,"AAPL","Apple Inc.","Information Technology",49.632835,-0.0462203504466309,-0.0473226095236896
2019-08-26,"AAPL","Apple Inc.","Information Technology",50.575821,0.0189992370977801,0.0188210055629572
2019-08-27,"AAPL","Apple Inc.","Information Technology",50.005135,-0.0112837713499499,-0.0113479160840444
2019-08-28,"AAPL","Apple Inc.","Information Technology",50.340687,0.00671035084696801,0.0066879366582322
2019-08-29,"AAPL","Apple Inc.","Information Technology",51.193043,0.0169317514478895,0.0167900070937428
2019-08-30,"AAPL","Apple Inc.","Information Technology",51.126915,-0.00129173801994943,-0.00129257303266117
2019-09-03,"AAPL","Apple Inc.","Information Technology",50.382324,-0.0145635816281894,-0.0146706715972056
2019-09-04,"AAPL","Apple Inc.","Information Technology",51.237133,0.0169664464068788,0.0168241238052178
2019-09-05,"AAPL","Apple Inc.","Information Technology",52.238895,0.0195514842721586,0.0193628092886127
2019-09-06,"AAPL","Apple Inc.","Information Technology",52.234001,-9.36849831911677e-05,-9.36893719032383e-05
2019-09-09,"AAPL","Apple Inc.","Information Technology",52.45689,0.00426712477950908,0.00425804641906913
2019-09-10,"AAPL","Apple Inc.","Information Technology",53.076565,0.0118130335214307,0.0117438043122333
2019-09-11,"AAPL","Apple Inc.","Information Technology",54.764141,0.0317951246468192,0.0313001247220943
2019-09-12,"AAPL","Apple Inc.","Information Technology",54.641674,-0.00223626259380203,-0.00223876676301327
2019-09-13,"AAPL","Apple Inc.","Information Technology",53.578682,-0.019453869586792,-0.0196455866062419
2019-09-16,"AAPL","Apple Inc.","Information Technology",53.860344,0.0052569788857441,0.00524320920909283
2019-09-17,"AAPL","Apple Inc.","Information Technology",54.056297,0.00363816837114897,0.00363156624485317
2019-09-18,"AAPL","Apple Inc.","Information Technology",54.563297,0.0093791108184861,0.00933540005810052
2019-09-19,"AAPL","Apple Inc.","Information Technology",54.119972,-0.00812496722842833,-0.00815815466144221
2019-09-20,"AAPL","Apple Inc.","Information Technology",53.328846,-0.0146180046065064,-0.0147259004076843
2019-09-23,"AAPL","Apple Inc.","Information Technology",53.571323,0.00454682630859856,0.00453652072052968
2019-09-24,"AAPL","Apple Inc.","Information Technology",53.316601,-0.00475482003683204,-0.00476616015471576
2019-09-25,"AAPL","Apple Inc.","Information Technology",54.137119,0.0153895406798344,0.0152723227885576
2019-09-26,"AAPL","Apple Inc.","Information Technology",53.857899,-0.00515764424035928,-0.00517099079839189
2019-09-27,"AAPL","Apple Inc.","Information Technology",53.595825,-0.00486602717272736,-0.00487790482995054
2019-09-30,"AAPL","Apple Inc.","Information Technology",54.857212,0.0235351727489968,0.0232624906962973
2019-10-01,"AAPL","Apple Inc.","Information Technology",55.009079,0.00276840536482246,0.00276458038845462
2019-10-02,"AAPL","Apple Inc.","Information Technology",53.630112,-0.0250679892313777,-0.0253875429607198
