observation_date,DEXTAUS
2022-05-03,29.4800
2022-05-04,29.5300
2022-05-05,29.6900
2022-05-06,29.6800
2022-05-09,29.7800
2022-05-10,29.7100
2022-05-11,29.6900
2022-05-12,29.8400
2022-05-13,29.7900
2022-05-16,29.7700
2022-05-17,29.6700
2022-05-18,29.7400
2022-05-19,29.7600
2022-05-20,29.6100
2022-05-23,29.6000
2022-05-24,29.5900
2022-05-25,29.5000
2022-05-26,29.4400
2022-05-27,29.3000
2022-05-30,
2022-05-31,28.9900
2022-06-01,29.1900
2022-06-02,29.3400
2022-06-03,29.3400
2022-06-06,29.3700
2022-06-07,29.4900
2022-06-08,29.5000
2022-06-09,29.5700
2022-06-10,29.5600
2022-06-13,29.7400
2022-06-14,29.6600
2022-06-15,29.7200
2022-06-16,29.7700
2022-06-17,29.7300
2022-06-20,
2022-06-21,29.7100
2022-06-22,29.8100
2022-06-23,29.7500
2022-06-24,29.7200
2022-06-27,29.6100
2022-06-28,29.6700
2022-06-29,29.6700
2022-06-30,29.7400
2022-07-01,29.7800
2022-07-04,
2022-07-05,29.8300
2022-07-06,29.8000
2022-07-07,29.7800
2022-07-08,29.7500
2022-07-11,29.8300
2022-07-12,29.9000
2022-07-13,29.8200
2022-07-14,29.8900
2022-07-15,29.9300
2022-07-18,29.8900
2022-07-19,29.8800
2022-07-20,29.9200
2022-07-21,29.9100
2022-07-22,29.9000
2022-07-25,29.9100
2022-07-26,29.9600
2022-07-27,29.9500
2022-07-28,29.9500
2022-07-29,29.9100
2022-08-01,29.9800
2022-08-02,29.9700
2022-08-03,29.9800
2022-08-04,30.0000
2022-08-05,29.9400
2022-08-08,30.0300
2022-08-09,30.0300
2022-08-10,30.0300
2022-08-11,29.9500
2022-08-12,29.9800
2022-08-15,30.0000
2022-08-16,29.9800
2022-08-17,29.9800
2022-08-18,30.0000
2022-08-19,30.0200
2022-08-22,30.1600
2022-08-23,30.1100
2022-08-24,30.2700
2022-08-25,30.2400
2022-08-26,30.2000
2022-08-29,30.4000
2022-08-30,30.4400
2022-08-31,30.3800
2022-09-01,30.5200
2022-09-02,30.5900
2022-09-05,
2022-09-06,30.8200
2022-09-07,30.9000
2022-09-08,30.9100
2022-09-09,30.9200
2022-09-12,30.9300
2022-09-13,31.1100
2022-09-14,31.1100
2022-09-15,31.1400
2022-09-16,31.3500
2022-09-19,31.4200
2022-09-20,31.3700
2022-09-21,31.4700
2022-09-22,31.6000
2022-09-23,31.8200
2022-09-26,31.8300
2022-09-27,31.7000
2022-09-28,31.7500
2022-09-29,31.8100
2022-09-30,31.7800
2022-10-03,31.8300
2022-10-04,31.7300
2022-10-05,31.5200
2022-10-06,31.5300
2022-10-07,31.6500
2022-10-10,
2022-10-11,31.8500
2022-10-12,31.8400
2022-10-13,31.8800
2022-10-14,31.9500
2022-10-17,31.9500
2022-10-18,32.0300
2022-10-19,32.0000
2022-10-20,32.0600
2022-10-21,32.1700
2022-10-24,32.3700
2022-10-25,32.3400
2022-10-26,32.1000
2022-10-27,31.9900
2022-10-28,32.1300
2022-10-31,32.2600
2022-11-01,32.1800
2022-11-02,32.1400
2022-11-03,32.2700
2022-11-04,32.2600
2022-11-07,32.0100
2022-11-08,31.9400
2022-11-09,31.7800
2022-11-10,31.5100
2022-11-11,
2022-11-14,30.9800
2022-11-15,31.0500
2022-11-16,31.0300
2022-11-17,31.0900
2022-11-18,31.1200
2022-11-21,31.1900
2022-11-22,31.1600
2022-11-23,31.1500
2022-11-24,
2022-11-25,30.9400
2022-11-28,30.9900
2022-11-29,30.9800
2022-11-30,30.8900
2022-12-01,30.6000
2022-12-02,30.5800
2022-12-05,30.4800
2022-12-06,30.6400
2022-12-07,30.6200
2022-12-08,30.6600
2022-12-09,30.6100
2022-12-12,30.6700
2022-12-13,30.6300
2022-12-14,30.5000
2022-12-15,30.6200
2022-12-16,30.7200
